,Course / Learning material,Source,Course Level,Type (Free or Paid),Module,"Module / Sub-module 
Difficulty level",Links,Keywords / Tags / Skills / Interests / Categories,Duration
0,Introduction to Machine Learning,Google Developers,Beginner,Free,Introduction to Machine Learning,Easy,https://developers.google.com/machine-learning/intro-to-ml,ml,20.0 minutes
1,Introduction to Machine Learning,Google Developers,Beginner,Free,What is Machine Learning,Easy,https://developers.google.com/machine-learning/intro-to-ml/what-is-ml,ml,20.0 minutes
2,Introduction to Machine Learning,Google Developers,Beginner,Free,Supervised Learning,Easy to Medium,https://developers.google.com/machine-learning/intro-to-ml/supervised,supervised learning,20.0 minutes
3,Introduction to Machine Learning,Google Developers,Beginner,Free,Test your understanding,Easy,https://developers.google.com/machine-learning/intro-to-ml/understanding,ml test,10.0 minutes
4,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Introduction to ML,Easy,https://developers.google.com/machine-learning/crash-course/ml-intro,ml,3.0 minutes
5,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Framing - Video Lecture,Easy to Medium,https://developers.google.com/machine-learning/crash-course/descending-into-ml/video-lecture,problem statement,
6,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Framing - Key ML Terminology,Easy,https://developers.google.com/machine-learning/crash-course/framing/ml-terminology,ml terminologies,15.0 minutes
7,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Descending into ML - Video Lecture,Easy to Medium,https://developers.google.com/machine-learning/crash-course/descending-into-ml/video-lecture,ml,
8,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Descending into ML - Linear Regression,Easy to Medium,https://developers.google.com/machine-learning/crash-course/descending-into-ml/linear-regression,"ml, linear regression",
9,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Descending into ML - Training and Loss,Easy to Medium,https://developers.google.com/machine-learning/crash-course/descending-into-ml/training-and-loss,"ml, training, loss",
10,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Reducing Loss - Video Lecture,Easy to Medium,https://developers.google.com/machine-learning/crash-course/reducing-loss/video-lecture,reducing loss,20.0 minutes
11,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Reducing Loss - An Iterative Approach,Easy to Medium,https://developers.google.com/machine-learning/crash-course/reducing-loss/an-iterative-approach,"iterative approach, reducing loss",
12,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Reducing Loss - Gradient Descent,Easy to Medium,https://developers.google.com/machine-learning/crash-course/reducing-loss/gradient-descent,"gradient descent, reducing loss",
13,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Reducing Loss - Learning Rate,Easy to Medium,https://developers.google.com/machine-learning/crash-course/reducing-loss/learning-rate,"learning rate, reducing loss",
14,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Reducing Loss - Optimizing Learning Rate,Easy to Medium,https://developers.google.com/machine-learning/crash-course/fitter/graph,"optimising, learning rate, reducing loss",
15,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Reducing Loss - Stochastic Gradient Descent,Easy to Medium,https://developers.google.com/machine-learning/crash-course/reducing-loss/stochastic-gradient-descent,"stochastic, gradient descent, reducing loss",60.0 minutes
16,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Reducing Loss - Playground Exercise,Easy to Medium,https://developers.google.com/machine-learning/crash-course/reducing-loss/playground-exercise,"reducing loss, practical",
17,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,First Steps with TensorFlow - Toolkit,Easy,https://developers.google.com/machine-learning/crash-course/first-steps-with-tensorflow/toolkit,"tensorflow, toolkit",
18,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,First Steps with TensorFlow - Toolkit,Easy,https://developers.google.com/machine-learning/crash-course/first-steps-with-tensorflow/programming-exercises,"tensorflow, toolkit",
19,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Generalisation - Video Lecture,Easy,https://developers.google.com/machine-learning/crash-course/generalization/video-lecture,generalization,
20,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Generalisation - Peril of Overfitting,Easy,https://developers.google.com/machine-learning/crash-course/generalization/peril-of-overfitting,"generalization, overfitting",
21,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Training and Test Sets - Video Lecture,Easy,https://developers.google.com/machine-learning/crash-course/training-and-test-sets/video-lecture,"training, test, dataset",
22,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Training and Test Sets - Splitting Data,Easy,https://developers.google.com/machine-learning/crash-course/training-and-test-sets/splitting-data,"training, test, dataset, splitting, data",
23,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Training and Test Sets - Playground Exercise,Easy,https://developers.google.com/machine-learning/crash-course/training-and-test-sets/playground-exercise,"training, test, dataset",
24,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Validation Set - Video lecture,Easy,https://developers.google.com/machine-learning/crash-course/validation/video-lecture,validation set,65.0 minutes
25,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Validation Set - Another Partition,Easy,https://developers.google.com/machine-learning/crash-course/validation/another-partition,"validation set, partition",
26,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Validation Set - Playground Exercise,Easy,https://developers.google.com/machine-learning/crash-course/validation/programming-exercise,validation set,
27,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Representation - Video lecture,Easy to Medium,https://developers.google.com/machine-learning/crash-course/representation/video-lecture,representation,
28,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Representation - Feature Engineering,Easy to Medium,https://developers.google.com/machine-learning/crash-course/representation/feature-engineering,"representation, feature engineering",15.0 minutes
29,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Representation - Qualities of Good Features,Easy to Medium,https://developers.google.com/machine-learning/crash-course/representation/qualities-of-good-features,"representation, quality, good feature",
30,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Representation - Cleaning Data,Easy to Medium,https://developers.google.com/machine-learning/crash-course/representation/cleaning-data,"representation, cleaning, data",
31,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Feature Crosses - Video lecture,Easy to Medium,https://developers.google.com/machine-learning/crash-course/feature-crosses/video-lecture,"feature, cross",
32,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Feature Crosses - Encoding Nonlinearity,Easy to Medium,https://developers.google.com/machine-learning/crash-course/feature-crosses/encoding-nonlinearity,"feature, cross, encoding, nonlinearity",25.0 minutes
33,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Feature Crosses - Crossing One-Hot Vectors,Easy to Medium,https://developers.google.com/machine-learning/crash-course/feature-crosses/crossing-one-hot-vectors,"feature, cross, one-hot vectors",
34,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Feature Crosses - Playground Exercises,Easy to Medium,https://developers.google.com/machine-learning/crash-course/feature-crosses/playground-exercises,"feature, cross",
35,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Feature Crosses - Programming Exercise,Easy to Medium,https://developers.google.com/machine-learning/crash-course/feature-crosses/programming-exercise,"feature, cross",
36,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Regularization: Simplicity - Playground Exercise: Overcrossing?,Medium,https://developers.google.com/machine-learning/crash-course/regularization-for-simplicity/playground-exercise-overcrossing,"regularization, simplicity",
37,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Regularization: Simplicity - Video Lecture,Medium,https://developers.google.com/machine-learning/crash-course/regularization-for-simplicity/video-lecture,"regularization, simplicity",35.0 minutes
38,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Regularization: Simplicity - L2 Regularization,Medium,https://developers.google.com/machine-learning/crash-course/regularization-for-simplicity/l2-regularization,"regularization, simplicity, l2, regularization",
39,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Regularization: Simplicity - Lambda,Medium,https://developers.google.com/machine-learning/crash-course/regularization-for-simplicity/lambda,"regularization, simplicity, lambda",
40,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Regularization: Simplicity - Playground Exercise: L2 Regularization,Medium,https://developers.google.com/machine-learning/crash-course/regularization-for-simplicity/playground-exercise-examining-l2-regularization,"regularization, simplicity",
41,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Logistic Regression - Video Lecture,Easy to Medium,https://developers.google.com/machine-learning/crash-course/logistic-regression/video-lecture,logistic regression,
42,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Logistic Regression - Calculating a Probability,Easy to Medium,https://developers.google.com/machine-learning/crash-course/logistic-regression/calculating-a-probability,"logistic regression, probability",35.0 minutes
43,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Logistic Regression - Loss and Regularization,Easy to Medium,https://developers.google.com/machine-learning/crash-course/logistic-regression/model-training,"logistic regression, loss, regularization",
44,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Classification - Video Lecture,Easy to Medium,https://developers.google.com/machine-learning/crash-course/classification/video-lecture,classification,
45,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Classification - Thresholding,Easy to Medium,https://developers.google.com/machine-learning/crash-course/classification/thresholding,"classification, threshold",
46,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Classification - True vs. False; Positive vs. Negative,Easy to Medium,https://developers.google.com/machine-learning/crash-course/classification/true-false-positive-negative,"classification, confusion matrix",
47,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Classification - Accuracy,Easy to Medium,https://developers.google.com/machine-learning/crash-course/classification/accuracy,"classification, accuracy",
48,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Classification - Precision and Recall,Easy to Medium,https://developers.google.com/machine-learning/crash-course/classification/precision-and-recall,"classification, precision, recall",70.0 minutes
49,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,"Classification - Check Your Understanding: Accuracy, Precision, Recall",Easy to Medium,https://developers.google.com/machine-learning/crash-course/classification/check-your-understanding-accuracy-precision-recall ,classification,
50,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Classification - ROC Curve and AUC,Easy to Medium,https://developers.google.com/machine-learning/crash-course/classification/roc-and-auc,"classification, roc, roc curve, auc",
51,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Classification - Check Your Understanding: ROC and AUC,Easy to Medium,https://developers.google.com/machine-learning/crash-course/classification/check-your-understanding-roc-and-auc,classification,
52,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Classification - Prediction Bias,Easy to Medium,https://developers.google.com/machine-learning/crash-course/classification/prediction-bias,"classification, prediction, bias",
53,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Classification - Programming Exercise,Easy to Medium,https://developers.google.com/machine-learning/crash-course/classification/programming-exercise,classification,
54,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Regularization: Sparcity - Video Lecture,Medium,https://developers.google.com/machine-learning/crash-course/regularization-for-sparsity/video-lecture,"regularization, sparcity",
55,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Regularization: Sparcity - L1 Regularization,Medium,https://developers.google.com/machine-learning/crash-course/regularization-for-sparsity/l1-regularization,"regularization, sparcity, l1, regularization",40.0 minutes
56,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Regularization: Sparcity - Playground Exercise,Medium,https://developers.google.com/machine-learning/crash-course/regularization-for-sparsity/playground-exercise,"regularization, sparcity",
57,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Regularization: Sparcity - Check Your Understanding,Medium,https://developers.google.com/machine-learning/crash-course/regularization-for-sparsity/check-your-understanding,"regularization, sparcity",
58,Machine Learning Crash Course (Foundation),Google Developers,Beginner to Intermediate,Free,Neural Networks - Video Lecture,Easy to Medium,https://developers.google.com/machine-learning/crash-course/introduction-to-neural-networks/video-lecture,neural network,
