Course / Learning material,Source,Course Level,Type (Free or Paid),Module,Duration,"Module / Sub-module 
Difficulty level",Keywords / Tags / Skills / Interests / Categories,Links
Introduction to Machine Learning,Google Developers,Beginners,Free,Introduction to Machine Learning,20 mins,Easy,machine learning,https://developers.google.com/machine-learning/intro-to-ml
Introduction to Machine Learning,Google Developers,Beginners,Free,What is Machine Learning,20 mins,Easy,machine learning,https://developers.google.com/machine-learning/intro-to-ml/what-is-ml
Introduction to Machine Learning,Google Developers,Beginners,Free,Supervised Learning,20 mins,Easy to Medium,supervised learning,https://developers.google.com/machine-learning/intro-to-ml/supervised
Introduction to Machine Learning,Google Developers,Beginners,Free,Test your understanding,10 mins,Easy,machine learning test,https://developers.google.com/machine-learning/intro-to-ml/understanding
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Introduction to ML,3 mins,Easy,machine learning,https://developers.google.com/machine-learning/crash-course/ml-intro
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Framing - Video Lecture,,Easy to Medium,problem statement,https://developers.google.com/machine-learning/crash-course/descending-into-ml/video-lecture
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Framing - Key ML Terminology,15 mins,Easy,ml terminologies,https://developers.google.com/machine-learning/crash-course/framing/ml-terminology
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Descending into ML - Video Lecture,,Easy to Medium,machine learning,https://developers.google.com/machine-learning/crash-course/descending-into-ml/video-lecture
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Descending into ML - Linear Regression,,Easy to Medium,"machine learning, linear regrression",https://developers.google.com/machine-learning/crash-course/descending-into-ml/linear-regression
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Descending into ML - Training and Loss,,Easy to Medium,"machine learning, training, loss",https://developers.google.com/machine-learning/crash-course/descending-into-ml/training-and-loss
Machine Learning Crash Course (Foundation),Google Developers,Beginners to Intermediate,Free,Reducing Loss - Video Lecture,20 mins,Easy to Medium,reducing loss,https://developers.google.com/machine-learning/crash-course/reducing-loss/video-lecture
