Course_Learning_Material,Source,Course_Level,Type,Module,Difficulty_Level,Keywords_Tags_Skills_Interests_Categories,Links,Duration_in_minutes
Introduction to Machine Learning,Google Developers,Beginner,Free,Introduction to Machine Learning,Easy,machine learning,https://developers.google.com/machine-learning/intro-to-ml,20
Introduction to Machine Learning,Google Developers,Beginner,Free,What is Machine Learning,Easy,machine learning,https://developers.google.com/machine-learning/intro-to-ml/what-is-ml,20
Introduction to Machine Learning,Google Developers,Beginner,Free,Supervised Learning,Medium,supervised learning,https://developers.google.com/machine-learning/intro-to-ml/supervised,20
Introduction to Machine Learning,Google Developers,Beginner,Free,Test your understanding,Easy,machine learning test,https://developers.google.com/machine-learning/intro-to-ml/understanding,10
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Introduction to ML,Easy,machine learning,https://developers.google.com/machine-learning/crash-course/ml-intro,3
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Framing - Video Lecture,Medium,problem statement,https://developers.google.com/machine-learning/crash-course/descending-into-ml/video-lecture,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Framing - Key ML Terminology,Easy,ml terminologies,https://developers.google.com/machine-learning/crash-course/framing/ml-terminology,15
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Descending into ML - Video Lecture,Medium,machine learning,https://developers.google.com/machine-learning/crash-course/descending-into-ml/video-lecture,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Descending into ML - Linear Regression,Medium,"machine learning, linear regrression",https://developers.google.com/machine-learning/crash-course/descending-into-ml/linear-regression,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Descending into ML - Training and Loss,Medium,"machine learning, training, loss",https://developers.google.com/machine-learning/crash-course/descending-into-ml/training-and-loss,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Reducing Loss - Video Lecture,Medium,reducing loss,https://developers.google.com/machine-learning/crash-course/reducing-loss/video-lecture,20
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Reducing Loss - An Iterative Approach,Medium,"iterative approach, reducing loss",https://developers.google.com/machine-learning/crash-course/reducing-loss/an-iterative-approach,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Reducing Loss - Gradient Descent,Medium,"gradient descent, reducing loss",https://developers.google.com/machine-learning/crash-course/reducing-loss/gradient-descent,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Reducing Loss - Learning Rate,Medium,"learning rate, reducing loss",https://developers.google.com/machine-learning/crash-course/reducing-loss/learning-rate,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Reducing Loss - Optimizing Learning Rate,Medium,"optimising, learning rate, reducing loss",https://developers.google.com/machine-learning/crash-course/fitter/graph,
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Reducing Loss - Stochastic Gradient Descent,Medium,"stochastic, gradient descent, reducing loss",https://developers.google.com/machine-learning/crash-course/reducing-loss/stochastic-gradient-descent,60
Machine Learning Crash Course (Foundation),Google Developers,Intermediate,Free,Reducing Loss - Playground Exercise,Medium,"reducing loss, practical",https://developers.google.com/machine-learning/crash-course/reducing-loss/playground-exercise,
